fips,diabetes,inactivity,mental_health,obesity,smoking
05051,12.95,29.5,18.6,39.2,15.8
05053,10.9,28.8,18.55,36.75,15.65
05055,11.75,34.45,20.45,42.3,18.65
05057,15.1,38.85,19.7,45.7,17.9
05059,12.75,33.6,19.45,37.0,18.75
05061,13.85,35.2,19.7,39.55,17.35
05063,12.4,34.7,19.9,41.8,17.45
05065,13.95,35.85,20.0,41.3,20.15
05067,14.55,39.0,21.45,43.9,21.3
05069,16.35,37.55,19.6,46.1,17.65
05071,13.5,36.25,20.05,37.45,18.5
05073,17.95,41.95,20.95,46.15,22.05
05075,13.2,35.55,21.15,43.9,20.2
05077,18.4,42.05,20.65,46.95,22.7
05079,13.65,36.15,19.45,42.7,20.05
05081,14.05,35.75,19.7,41.3,18.1
05083,12.85,32.75,19.65,37.9,18.15
05085,10.7,30.65,19.15,35.9,15.95
05087,12.6,34.3,20.15,40.7,19.15
05089,13.75,33.05,19.45,37.85,18.4
05091,14.2,37.25,20.65,38.05,19.2
05093,14.3,36.25,20.55,46.65,18.95
05095,16.7,38.2,20.2,43.6,19.55
05097,13.9,34.3,19.6,41.0,18.3
05099,16.25,39.55,20.75,44.05,20.75
05101,13.1,32.65,19.3,38.65,18.25
05103,15.8,36.9,20.15,43.45,18.45
05105,12.45,33.1,19.3,38.75,17.8
05107,19.45,43.0,21.3,48.5,21.4
05109,12.9,33.4,19.5,38.25,17.65
05111,13.35,37.9,21.2,41.35,20.6
05113,13.65,34.65,19.95,40.1,19.0
05115,12.05,33.45,19.65,44.95,16.75
05117,13.2,33.5,19.2,40.4,17.7
05119,12.2,28.75,17.9,40.55,13.5
05121,13.45,37.0,21.1,41.4,20.25
05123,17.75,41.85,20.4,48.05,21.85
05125,10.4,28.45,17.75,34.45,14.25
05127,13.25,35.65,19.85,37.1,18.8
05129,15.05,36.95,20.55,39.8,21.3
05131,12.3,32.9,19.4,36.3,16.3
05133,14.45,40.3,19.8,41.45,18.95
05135,13.95,36.2,20.3,39.45,19.8
05137,14.5,36.15,19.9,39.95,20.3
05139,14.5,35.35,19.3,39.4,17.85
05141,13.85,35.4,19.8,39.55,19.65
05143,10.4,27.95,18.55,36.05,13.8
05145,11.75,32.05,20.1,39.85,17.65
05147,16.0,39.2,20.6,39.25,20.75
05149,13.45,34.75,19.5,41.95,18.5
06001,10.55,20.35,15.25,22.65,9.25
06003,10.05,18.7,16.75,28.55,11.3
06005,10.2,21.6,17.2,29.55,12.3
06007,10.3,22.75,19.35,29.95,13.35
06009,11.15,23.5,18.2,29.8,13.65
06011,12.8,30.05,18.45,35.15,13.45
06013,10.45,23.2,15.75,27.9,9.3
06015,11.35,24.9,19.05,30.95,15.05
06017,9.4,18.7,16.5,27.55,10.5
06019,12.55,30.95,18.4,37.8,13.3
06021,11.85,27.65,18.85,32.25,14.05
06023,10.7,23.45,20.2,31.7,14.6
06025,14.8,35.15,18.1,34.95,13.1
06027,10.9,22.0,17.4,28.35,12.2
06029,13.3,32.0,19.95,36.1,14.65
06031,12.5,30.7,19.25,34.8,14.9
06033,12.4,26.85,19.25,32.75,15.4
06035,11.05,25.85,19.5,34.25,16.05
06037,12.1,25.95,16.4,26.45,11.25
06039,13.15,31.65,19.95,36.6,14.85
06041,8.85,17.4,14.85,21.3,8.3
06043,11.45,23.3,17.75,30.7,12.95
06045,12.05,25.1,18.85,29.4,14.5
06047,13.15,33.45,18.9,34.05,14.3
06049,12.6,26.05,19.05,32.1,15.2
06051,9.7,21.15,17.4,31.05,11.65
06053,12.05,26.85,16.9,31.25,12.0
06055,10.35,22.85,16.15,28.05,10.5
06057,9.75,19.3,17.0,27.55,11.25
06059,10.8,23.75,16.3,23.9,9.25
06061,8.85,18.5,16.05,27.25,9.5
